"report_date","logic_segment","shipper_id","city_name","total_order","total_order_spxi","total_assign"
"2024-04-04","new","6541898","HCM City","25","18","27"
"2024-04-04","new","40049214","Ha Noi City","29","14","37"
"2024-04-04","new","16616323","HCM City","27","4","31"
"2024-04-04","new","41248639","HCM City","28","11","28"
"2024-04-04","new","12842936","HCM City","25","6","30"
"2024-04-04","new","14308881","Ha Noi City","23","5","25"
"2024-04-04","new","5953311","HCM City","16","9","16"
"2024-04-04","new","13021925","Ha Noi City","21","11","23"
"2024-04-04","new","15358932","HCM City","10","6","12"
"2024-04-04","new","22200460","Ha Noi City","20","16","39"
"2024-04-04","new","19149780","Ha Noi City","4","1","4"
"2024-04-04","new","41405477","Ha Noi City","26","26","26"
"2024-04-04","new","4175684","HCM City","22","11","26"
"2024-04-04","new","40417459","HCM City","21","10","24"
"2024-04-04","new","17520535","HCM City","25","6","31"
"2024-04-04","new","16192127","HCM City","18","10","19"
"2024-04-04","new","21804611","HCM City","20","20","21"
"2024-04-04","new","16837710","HCM City","18","8","21"
"2024-04-04","new","4216446","HCM City","21","7","34"
"2024-04-04","new","10124740","HCM City","18","12","21"
"2024-04-04","new","40811660","HCM City","16","5","16"
"2024-04-04","new","10196748","Ha Noi City","23","14","25"
"2024-04-04","new","16325895","Ha Noi City","26","7","29"
"2024-04-04","new","40295119","HCM City","31","5","50"
"2024-04-04","new","41380990","HCM City","18","11","19"
"2024-04-04","new","1990348","HCM City","22","13","22"
"2024-04-04","new","15986824","Ha Noi City","23","5","29"
"2024-04-04","new","22654547","HCM City","20","15","24"
"2024-04-04","new","16312008","Ha Noi City","22","5","24"
"2024-04-04","new","18275357","Ha Noi City","34","5","36"
"2024-04-04","new","16681560","HCM City","31","10","33"
"2024-04-04","new","42281040","HCM City","14","11","16"
"2024-04-04","new","20336543","Ha Noi City","24","15","36"
"2024-04-04","new","12481833","HCM City","33","17","36"
"2024-04-04","new","23062000","HCM City","22","17","22"
"2024-04-04","new","14796710","Ha Noi City","18","18","70"
"2024-04-04","new","16378080","HCM City","22","18","25"
"2024-04-04","new","16613200","HCM City","22","14","27"
"2024-04-04","new","18938005","HCM City","24","15","30"
"2024-04-04","new","19876700","HCM City","18","4","18"
"2024-04-04","new","20035545","HCM City","22","9","23"
"2024-04-04","new","12014872","HCM City","6","4","6"
"2024-04-04","new","4226434","HCM City","17","9","18"
"2024-04-04","new","8930866","HCM City","24","0","24"
"2024-04-04","new","6762691","HCM City","19","8","19"
"2024-04-04","new","23085680","Ha Noi City","27","20","61"
"2024-04-04","new","12639987","HCM City","25","11","30"
"2024-04-04","new","15608874","Ha Noi City","21","8","21"
"2024-04-04","new","14986642","Ha Noi City","24","0","45"
"2024-04-04","new","11788607","Ha Noi City","21","8","27"
"2024-04-04","new","41025755","HCM City","24","17","30"
"2024-04-04","new","17055649","Ha Noi City","23","0","39"
"2024-04-04","new","18343300","HCM City","25","16","28"
"2024-04-04","new","17096683","HCM City","32","0","32"
"2024-04-04","new","8498307","Ha Noi City","20","6","33"
"2024-04-04","new","20492255","HCM City","29","0","29"
"2024-04-04","new","18208545","HCM City","24","5","26"
"2024-04-04","new","18360156","HCM City","23","9","25"
"2024-04-04","new","8169859","HCM City","30","4","42"
"2024-04-04","new","16313082","Ha Noi City","24","2","29"
"2024-04-04","new","21750367","HCM City","23","9","25"
"2024-04-04","new","20420181","HCM City","20","10","22"
"2024-04-04","new","20423544","HCM City","22","14","23"
"2024-04-04","new","50169168","HCM City","23","19","23"
"2024-04-04","new","22929133","Ha Noi City","25","9","34"
"2024-04-04","new","16682939","Ha Noi City","23","11","38"
"2024-04-04","new","16677843","Ha Noi City","24","17","32"
"2024-04-04","new","21145882","Ha Noi City","24","10","30"
"2024-04-04","new","17135705","HCM City","23","16","23"
"2024-04-04","new","12076760","Ha Noi City","26","15","28"
"2024-04-04","new","16802533","Ha Noi City","10","5","10"
"2024-04-04","new","41897669","Ha Noi City","21","7","91"
"2024-04-04","new","12285156","HCM City","16","4","18"
"2024-04-04","new","40284246","Ha Noi City","23","18","26"
"2024-04-04","new","15276997","Ha Noi City","23","18","46"
"2024-04-04","new","4435803","HCM City","27","27","29"
"2024-04-04","new","8448315","Ha Noi City","11","1","21"
"2024-04-04","new","11098750","Ha Noi City","26","13","31"
"2024-04-04","new","10388816","HCM City","21","8","24"
"2024-04-04","new","17885113","Ha Noi City","26","12","26"
"2024-04-04","new","19066827","HCM City","25","6","27"
"2024-04-04","new","17148231","HCM City","20","11","24"
"2024-04-04","new","40055311","HCM City","25","25","25"
